GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
136,940,48,-27.44075612,153.1419437
136,937,48,-27.44058522,153.1421531
136,935,47,-27.44040656,153.1423678
135,935,47,-27.44023255,153.1425731
135,935,46,-27.44005808,153.1427754
134,935,45,-27.43987362,153.1429853
134,935,45,-27.43969994,153.1431796
133,938,45,-27.43953015,153.1433665
132,942,44,-27.4393357,153.1435771
132,942,44,-27.43915993,153.1437642
131,945,43,-27.43898648,153.1439459
131,948,43,-27.43880164,153.1441363
130,951,42,-27.4386213,153.1443192
129,951,42,-27.43843474,153.1445055
129,953,41,-27.43825416,153.1446829
128,955,41,-27.4380736,153.1448578
128,953,41,-27.43787773,153.1450448
127,956,40,-27.43770469,153.1452078
127,954,40,-27.43752262,153.1453779
126,957,40,-27.43732729,153.145559
126,959,39,-27.4371459,153.1457262
125,959,39,-27.4369679,153.14589
125,961,39,-27.43677899,153.1460638
125,961,39,-27.43659867,153.1462295
124,961,39,-27.43641969,153.1463938
124,961,39,-27.43623922,153.1465593
124,961,39,-27.43605574,153.1467275
124,957,39,-27.43587675,153.1468914
124,956,39,-27.43569866,153.1470542
124,955,39,-27.43551847,153.1472188
124,950,39,-27.43532961,153.1473906
124,947,39,-27.43515606,153.1475473
123,946,39,-27.43497498,153.1477096
123,942,38,-27.43480441,153.1478613
123,942,38,-27.43460962,153.1480332
123,941,38,-27.43442898,153.1481916
123,944,38,-27.43424867,153.1483492
123,945,38,-27.43405319,153.1485194
123,942,38,-27.43387137,153.1486773
122,941,37,-27.43370039,153.1488253
122,946,37,-27.43351346,153.1489867
122,947,37,-27.43333345,153.1491416
122,947,37,-27.4331562,153.1492936
121,947,37,-27.43297281,153.1494505
121,949,37,-27.43277301,153.1496208
121,947,37,-27.43261188,153.1497577
120,947,37,-27.43242602,153.1499152
120,946,37,-27.43224635,153.1500671
120,945,37,-27.43206721,153.150218
120,946,37,-27.43187524,153.1503792
119,947,37,-27.43169658,153.1505287
119,947,36,-27.43151791,153.1506778
119,948,36,-27.43134266,153.1508236
119,949,36,-27.43115571,153.1509786
119,950,36,-27.43097811,153.1511254
119,951,36,-27.4308026,153.1512699
118,951,36,-27.43061528,153.1514237
118,952,36,-27.4304379,153.1515688
118,954,36,-27.43024573,153.1517254
118,955,36,-27.43008305,153.1518576
118,955,36,-27.42990578,153.1520011
117,956,36,-27.42972155,153.1521497
117,957,35,-27.42954359,153.1522927
117,957,35,-27.42937707,153.1524261
117,957,35,-27.42917435,153.1525879
117,957,35,-27.42899256,153.1527324
117,956,35,-27.42883713,153.1528556
116,955,35,-27.428638,153.1530128
116,955,35,-27.42846305,153.1531504
116,954,35,-27.42829891,153.1532791
116,954,35,-27.42809892,153.1534353
116,950,35,-27.4279211,153.1535737
116,949,35,-27.42773793,153.1537157
116,947,34,-27.4275601,153.1538531
116,945,34,-27.42738289,153.1539896
